trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.95}",30,0,-107.6390482,"{0: 18, 1: 4, 2: 7, 3: 0, 4: 1}",0
2,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-128.6485944,"{0: 14, 1: 2, 2: 6, 3: 2, 4: 1}",0
3,FALSE,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-61.06624911,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,FALSE,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-308.5645642,"{0: 15, 1: 0, 2: 8, 3: 2, 4: 5}",0
5,FALSE,"{'a': 0.5, 'e': 0.7499999999999998}",25,0,-51.9625091,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
6,FALSE,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-68.78545461,"{0: 15, 1: 1, 2: 2, 3: 1, 4: 1}",0
7,FALSE,"{'a': 0.5, 'e': 0.6499999999999997}",30,21,-12.62381087,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 0}",1
8,FALSE,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-98.82777838,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
9,FALSE,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-39.17104361,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
10,FALSE,"{'a': 0.5, 'e': 0.4999999999999996}",30,1,14.34583942,"{0: 26, 1: 2, 2: 1, 3: 0, 4: 0}",1
11,FALSE,"{'a': 0.5, 'e': 0.4499999999999996}",20,12,-17.39174851,"{0: 5, 1: 1, 2: 2, 3: 0, 4: 0}",1
12,FALSE,"{'a': 0.5, 'e': 0.39999999999999963}",20,3,-30.26558153,"{0: 13, 1: 1, 2: 2, 3: 1, 4: 0}",1
13,FALSE,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,28.6958959,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
14,FALSE,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-35.97467643,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
15,FALSE,"{'a': 0.5, 'e': 0.24999999999999967}",30,8,-17.36339396,"{0: 20, 1: 1, 2: 0, 3: 0, 4: 1}",1
16,FALSE,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,31.01679434,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,FALSE,"{'a': 0.5, 'e': 0.1499999999999997}",25,14,14.63924492,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
18,FALSE,"{'a': 0.5, 'e': 0.09999999999999969}",20,1,13.43066624,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.5, 'e': 0.049999999999999684}",20,16,8.066616183,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,FALSE,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,16,8.788080407,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
1,TRUE,"{'a': 0.0, 'e': 0.0}",30,4,35.91729446,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0.0, 'e': 0.0}",25,14,21.98247223,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0.0, 'e': 0.0}",20,0,25.07846152,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
4,TRUE,"{'a': 0.0, 'e': 0.0}",25,1,42.24077335,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,TRUE,"{'a': 0.0, 'e': 0.0}",20,0,34.03952491,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
6,TRUE,"{'a': 0.0, 'e': 0.0}",20,0,-10.07502862,"{0: 18, 1: 0, 2: 0, 3: 2, 4: 0}",0
7,TRUE,"{'a': 0.0, 'e': 0.0}",25,17,-6.114623685,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
8,TRUE,"{'a': 0.0, 'e': 0.0}",25,18,13.85728089,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0.0, 'e': 0.0}",20,10,19.69232029,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,TRUE,"{'a': 0.0, 'e': 0.0}",20,15,9.203079008,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
