trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.8, 'e': 0.995}",30,0,-71.40860316058809,"{0: 21, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,False,"{'a': 0.8, 'e': 0.99}",30,0,-173.72574025533675,"{0: 21, 1: 2, 2: 3, 3: 0, 4: 4}",0
3,False,"{'a': 0.8, 'e': 0.985}",25,3,-162.57553755902265,"{0: 12, 1: 3, 2: 4, 3: 0, 4: 3}",1
4,False,"{'a': 0.8, 'e': 0.98}",30,0,-164.68637015091093,"{0: 15, 1: 3, 2: 7, 3: 5, 4: 0}",0
5,False,"{'a': 0.8, 'e': 0.975}",25,0,-127.94010567768557,"{0: 15, 1: 3, 2: 5, 3: 0, 4: 2}",0
6,False,"{'a': 0.8, 'e': 0.97}",25,0,-90.15759734436648,"{0: 16, 1: 2, 2: 6, 3: 0, 4: 1}",0
7,False,"{'a': 0.8, 'e': 0.965}",20,8,-94.36248671463429,"{0: 4, 1: 0, 2: 6, 3: 2, 4: 0}",1
8,False,"{'a': 0.8, 'e': 0.96}",35,0,-190.27254890609018,"{0: 22, 1: 4, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.8, 'e': 0.955}",25,0,-105.62680638277807,"{0: 17, 1: 3, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.8, 'e': 0.95}",25,0,-189.87491900602353,"{0: 8, 1: 6, 2: 7, 3: 3, 4: 1}",0
11,False,"{'a': 0.8, 'e': 0.945}",25,0,-164.55874760128972,"{0: 15, 1: 2, 2: 5, 3: 0, 4: 3}",0
12,False,"{'a': 0.8, 'e': 0.94}",20,0,-65.15293500690336,"{0: 11, 1: 2, 2: 7, 3: 0, 4: 0}",0
13,False,"{'a': 0.8, 'e': 0.9349999999999999}",25,0,-148.35556710047055,"{0: 13, 1: 3, 2: 7, 3: 0, 4: 2}",0
